study_name,time,sample_number,total_krill_abundance,krill_abundance_16mm_to_20mm,krill_abundance_21mm_to_25mm,krill_abundance_26mm_to_30mm,krill_abundance_31mm_to_35mm,krill_abundance_36mm_to_40mm,krill_abundance_41mm_to_45mm,krill_abundance_46mm_to_50mm,krill_abundance_51mm_to_55mm,krill_abundance_56mm_to_60mm,krill_abundance_61mm_to_65mm
,UTC,,1,1,1,1,1,1,1,1,1,1,1
PAL9192,1992-01-15T00:00:00Z,25465,62,0,0,0,0,15,31,10,5,1,0
PAL9192,1992-01-15T00:00:00Z,25466,80,3,0,12,4,11,22,19,8,1,0
PAL9192,1992-01-15T00:00:00Z,25467,73,0,4,3,4,11,26,16,8,1,0
PAL9192,1992-01-15T00:00:00Z,25468,65,3,3,2,3,11,28,15,0,0,0
PAL9192,1992-01-15T00:00:00Z,25469,52,0,0,0,1,12,24,8,4,3,0
PAL9192,1992-01-20T00:00:00Z,25470,81,0,0,4,1,10,15,17,15,17,2
PAL9192,1992-01-20T00:00:00Z,25471,90,2,7,9,5,13,24,16,9,5,0
PAL9192,1992-01-20T00:00:00Z,25472,73,0,1,5,8,3,20,26,8,2,0
PAL9192,1992-01-20T00:00:00Z,25473,68,0,1,2,3,6,19,19,13,3,2
PAL9192,1992-01-20T00:00:00Z,25474,131,5,10,13,11,22,39,19,11,1,0
PAL9192,1992-01-25T00:00:00Z,25475,95,0,0,0,1,21,16,17,20,19,1
PAL9192,1992-01-25T00:00:00Z,25476,83,1,4,6,8,21,25,11,6,1,0
PAL9192,1992-01-25T00:00:00Z,25477,69,0,0,1,2,7,18,26,13,2,0
PAL9192,1992-01-25T00:00:00Z,25478,52,0,0,0,0,5,16,17,8,6,0
PAL9192,1992-01-25T00:00:00Z,25479,47,0,0,0,4,11,21,4,6,1,0
PAL9192,1992-01-30T00:00:00Z,25480,70,0,0,0,0,10,20,11,16,9,4
PAL9192,1992-01-30T00:00:00Z,25481,70,0,0,11,18,7,14,11,8,1,0
PAL9192,1992-01-30T00:00:00Z,25482,69,0,5,16,14,15,13,5,1,0,0
PAL9192,1992-01-30T00:00:00Z,25483,49,0,0,0,0,3,14,15,7,10,0
PAL9192,1992-01-30T00:00:00Z,25484,87,0,12,8,14,18,15,11,6,0,3
PAL9192,1992-02-04T00:00:00Z,25485,36,0,0,0,1,5,6,6,10,7,1
PAL9192,1992-02-04T00:00:00Z,25486,65,0,0,6,10,17,14,12,5,1,0
PAL9192,1992-02-04T00:00:00Z,25487,63,0,0,0,4,2,13,15,8,15,6
PAL9192,1992-02-04T00:00:00Z,25488,75,0,0,4,3,3,15,32,13,5,0
