study_name,time,sample_number,source,prey_type,species_code,evidence_code,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight,notes
,UTC,,,,,,1,mm,grams,mm,grams,
PAL9192,1992-02-04T00:00:00Z,91023,STOM,FISH,PLAN,OTOLITH,4,1.7,0,0,0,NaN
PAL9192,1992-02-04T00:00:00Z,91025,STOM,FISH,PLAN,OTOLITH,4,1.7,0,0,0,NaN
PAL9192,1992-02-09T00:00:00Z,91026,STOM,FISH,PLAN,OTOLITH,1,1.8,0,0,0,NaN
PAL9192,1992-02-09T00:00:00Z,91027,STOM,FISH,PLAN,OTOLITH,1,1.9,0,0,0,NaN
PAL9192,1992-02-09T00:00:00Z,91028,STOM,FISH,PLAN,OTOLITH,1,1.6,0,0,0,NaN
PAL9192,1992-02-14T00:00:00Z,91031,STOM,FISH,PLAN,OTOLITH,1,1.8,0,0,0,NaN
PAL9192,1992-02-19T00:00:00Z,91040,STOM,FISH,PLAN,OTOLITH,1,1.6,0,0,0,NaN
PAL9293,1993-02-14T00:00:00Z,92031,SKUL,FISH,PLAN,OTOLITH,1,2.7,0,0,0,NaN
PAL9293,1993-02-19T00:00:00Z,92038,SKUL,FISH,UNKN,OTOLITH,1,0.0,0,0,0,NaN
PAL9394,1994-02-07T00:00:00Z,93026,STOM,FISH,UNKN,FLESH,NaN,0.0,1,0,0,NaN
PAL9394,1994-02-18T00:00:00Z,93037,STOM,FISH,UNKN,FLESH,NaN,0.0,2,0,0,NaN
PAL9394,1994-02-18T00:00:00Z,93038,SKUL,FISH,PLAN,OTOLITH,1,2.1,10,0,0,NaN
PAL9495,1995-01-22T00:00:00Z,94015,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9495,1995-01-27T00:00:00Z,94020,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL9495,1995-02-02T00:00:00Z,94022,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9495,1995-02-13T00:00:00Z,94031,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9495,1995-02-13T00:00:00Z,94033,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9495,1995-02-13T00:00:00Z,94034,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9495,1995-02-13T00:00:00Z,94035,STOM,FISH,UNKN,FLESH,1,0.0,6,0,0,NaN
PAL9495,1995-02-18T00:00:00Z,94036,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9495,1995-02-18T00:00:00Z,94037,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9596,1996-01-16T00:00:00Z,95008,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9596,1996-01-16T00:00:00Z,95009,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9596,1996-01-16T00:00:00Z,95010,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9596,1996-01-22T00:00:00Z,95012,STOM,FISH,UNKN,FLESH,1,0.0,15,0,0,NaN
PAL9596,1996-01-22T00:00:00Z,95014,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9596,1996-01-22T00:00:00Z,95015,SKUL,FISH,UNKN,OTOLITH,2,0.0,0,0,0,NaN
PAL9596,1996-01-27T00:00:00Z,95016,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9596,1996-01-27T00:00:00Z,95020,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9596,1996-02-01T00:00:00Z,95022,STOM,FISH,PLAN,OTOLITH,1,0.0,21,0,0,NaN
PAL9596,1996-02-01T00:00:00Z,95023,STOM,FISH,ELAN,OTOLITH,1,0.0,8,0,0,NaN
PAL9596,1996-02-01T00:00:00Z,95024,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9596,1996-02-01T00:00:00Z,95025,STOM,FISH,UNKN,FLESH,1,0.0,6,0,0,NaN
PAL9596,1996-02-06T00:00:00Z,95027,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL9596,1996-02-11T00:00:00Z,95032,STOM,FISH,UNKN,FLESH,1,0.0,6,0,0,NaN
PAL9596,1996-02-11T00:00:00Z,95033,STOM,FISH,PLAN,OTOLITH,1,0.0,4,0,0,NaN
PAL9596,1996-02-11T00:00:00Z,95034,STOM,FISH,UNKN,FLESH,3,0.0,10,0,0,NaN
PAL9596,1996-02-17T00:00:00Z,95037,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9596,1996-02-17T00:00:00Z,95038,STOM,FISH,PLAN,OTOLITH,1,0.0,8,0,0,NaN
PAL9596,1996-02-17T00:00:00Z,95039,STOM,FISH,UNKN,FLESH,1,0.0,10,0,0,NaN
PAL9697,1997-01-26T00:00:00Z,96022,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9697,1997-02-05T00:00:00Z,96033,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9697,1997-02-05T00:00:00Z,96035,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9697,1997-02-15T00:00:00Z,96045,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9798,1998-02-15T00:00:00Z,97045,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9798,1998-02-20T00:00:00Z,97046,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9798,1998-02-20T00:00:00Z,97048,STOM,FISH,PLAN,OTOLITH,1,0.0,10,0,0,NaN
PAL9899,1999-01-21T00:00:00Z,98016,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9900,2000-01-29T00:00:00Z,99024,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9900,2000-02-04T00:00:00Z,99026,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9900,2000-02-04T00:00:00Z,99028,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL9900,2000-02-04T00:00:00Z,99030,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL9900,2000-02-07T00:00:00Z,99031,STOM,FISH,UNKN,FLESH,1,0.0,4,0,0,NaN
PAL9900,2000-02-07T00:00:00Z,99033,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL0001,2001-01-09T00:00:00Z,7,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL0001,2001-01-09T00:00:00Z,10,STOM,FISH,UNKN,SKULL,1,0.0,5,0,0,NaN
PAL0001,2001-01-12T00:00:00Z,13,STOM,FISH,UNKN,SKULL,1,0.0,9,0,0,NaN
PAL0001,2001-01-12T00:00:00Z,15,STOM,FISH,UNKN,SKULL,2,0.0,1,0,0,NaN
PAL0001,2001-01-18T00:00:00Z,18,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL0001,2001-01-24T00:00:00Z,22,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL0001,2001-01-24T00:00:00Z,23,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL0001,2001-01-24T00:00:00Z,25,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
