time,island_name,colony_code,num_breeding_pairs,num_chicks
26/01/1992,CHR,1,166,306
26/01/1992,CHR,2,53,90
26/01/1992,CHR,3,138,208
26/01/1992,CHR,4,17,29
26/01/1992,CHR,5,32,32
26/01/1992,CHR,6,100,172
26/01/1992,CHR,7,303,407
26/01/1992,CHR,7.1,27,30
26/01/1992,CHR,7.2,65,97
26/01/1992,CHR,8,143,227
26/01/1992,CHR,9,79,63
26/01/1992,CHR,10,15,13
26/01/1992,CHR,11,24,10
26/01/1992,COR,1,5,4
26/01/1992,COR,2,82,119
26/01/1992,COR,3,45,48
26/01/1992,COR,4,12,29
26/01/1992,COR,5,370,386
26/01/1992,COR,5.1,151,173
26/01/1992,COR,6,110,116
26/01/1992,HUM,1.1,10,20
26/01/1992,HUM,1.2,11,39
26/01/1992,HUM,1.3,7,7
26/01/1992,HUM,2.1,86,183
26/01/1992,HUM,2.2,35,97
26/01/1992,HUM,3,145,409
26/01/1992,HUM,3.1,45,99
26/01/1992,HUM,4,59,149
26/01/1992,HUM,5,185,476
26/01/1992,LIT,1,14,11
26/01/1992,LIT,2,21,29
26/01/1992,LIT,3,0,0
26/01/1992,LIT,4,21,31
26/01/1992,LIT,5,40,99
26/01/1992,LIT,6,80,135
26/01/1992,LIT,7,31,71
26/01/1992,LIT,8,42,141
26/01/1992,LIT,9,17,25
26/01/1992,TOR,1,122,162
26/01/1992,TOR,2,42,71
26/01/1992,TOR,3,27,30
26/01/1992,TOR,4,234,378
26/01/1992,TOR,5,85,144
26/01/1992,TOR,12,155,265
26/01/1992,TOR,13,193,339
26/01/1992,TOR,15,113,210
26/01/1992,TOR,17,15,25
26/01/1992,TOR,20,184,318
26/01/1992,TOR,21,89,189
26/01/1992,TOR,22,58,134
26/01/1992,TOR,23,172,203
26/01/1992,TOR,23.1,19,25
26/01/1993,CHR,1,281,307
26/01/1993,CHR,2,102,90
26/01/1993,CHR,3,216,210
26/01/1993,CHR,4,35,30
26/01/1993,CHR,5,39,41
26/01/1993,CHR,6,149,155
26/01/1993,CHR,7,386,362
26/01/1993,CHR,7.1,38,30
26/01/1993,CHR,7.2,107,90
26/01/1993,CHR,8,218,228
26/01/1993,CHR,9.1,31,17
26/01/1993,CHR,10,21,10
26/01/1993,CHR,11,18,0
