Monthly Sea Ice Concentration for the Penguin Foraging Area (~200km) near Charcot Island
Dataset: GSFC Bootstrap time series data Version 3.1 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021
Nodata: -999.00
Caution: The 2021 monthly data are preliminary and will be updated when available (be particularly
         cautious of the near-zero values in summer; some will likely get upgraded to low SIC)
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec

1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999          96          97
1979	          93          82          65          61          80          86          88          92          94          95          96          97
1980	          90          72          70          81          91          90          91          93          93          95          94          90
1981	          69          61          50          55          88          92          88          92          92          95          94          93
1982	          64          42          30          48          83          91          94          95          96          96          95          94
1983	          63          42          39          33          33          75          93          94          94          94          75          56
1984	          33          24          11          10          44          94          96          95          91          95          95          84
1985	          47          23          11          10          38          86          95          96          97          97          97          85
1986	          72          48          31          26          65          95          96          96          98          97          94          94
1987	          90          69          52          86          85          94          96          98          96          94          92        -999
1988	        -999          33          28          30          56          72          93          94          96          92          86          70
1989	           9           4           2          13          20          82          86          80          90          70          52          17
1990	           6           2           1           9          43          75          93          97          98          98          95          84
1991	          11           3           0           1          64          96          98          98          99          97          94          66
1992	          51          37          38          67          84          97          97          95          95          85          79          44
1993	          29          21          13          17          61          92          95          81          94          97          95          85
1994	          57          32          18          15          36          94          96          98          98          97          89          70
1995	          35          16          10          19          42          93          95          97          98          97          93          68
1996	          44          28          19          16          32          94          97          95          96          97          97          69
1997	          26          14           7          14          61          82          96          97          98          97          92          51
1998	          21          10           7           6          54          58          86          85          92          76          75          53
1999	           9           5           3           4           5          70          96          97          97          95          70          42
2000	          28          18          10           9          25          47          82          95          96          98          98          89
2001	          36           3           1           4           8          78          97          97          98          82          70          62
2002	          34          18          14          14          76          97          98          96          96          96          91          72
2003	          29          12           4           5          67          93          97          96          98          97          94          73
2004	          17           2           0           0          54          92          98          97          98          99          98          95
2005	          78          49          33          43          84          95          97          98          98          94          74          70
2006	          52          34          27          21          43          66          92          97          97          94          92          58
2007	          13           4           1           9          19          69          93          95          87          67          78          40
2008	           4           0           0           1           5          59          90          93          73          37          29          18
2009	           7           2           0           6           5          43          95          95          97          96          93          55
2010	           9           2           0           2          34          76          94          93          90          52          26          25
2011	          10           1           0           7          16          72          95          98          97          96          95          62
2012	          46          18           6           6          16          88          97          98          99          98          95          73
2013	          23           1           0           0          63          97          98          98          99          97          97          97
2014	          66          25           6          19          30          86          94          98          99          98          96          80
2015	          39          15           6           9          42          94          97          96          96          98          98          94
2016	          79          44          32          65          81          71          90          96          84          53          47          45
2017	          33          19          11          15          18          40          93          97          97          97          98          81
2018	          33           6           2           4          56          91          96          94          98          99          96          77
2019	          66          44          22          13          52          95          97          97          98          98          98          87
2020	          33           6           1           3          42          71          92          95          97          98          56          40
2021	          11           2           1           3          35          83          68        -999        -999        -999        -999        -999
