Monthly Sea Ice Extent (km^2) for new PAL sampling area (-200 to 600 lines)
Dataset: GSFC Bootstrap time series data Version 3.0 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021 
Nodata: -999.00
Ext: total area enclosed by the outer ice edge (so includes ocean areas covered by
     sea ice concentrations ranging from 15% to 100%)
Caution: The 2021 monthly data are preliminary and will be updated when available
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec

1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999      200915      183482
1979	      144589      128755       94387      103075      188322      204499      204499      204499      204499      204499      188909      170178
1980	      134855      107321      104365      156922      187115      204499      204499      204499      204499      204499      204499      204499
1981	      128024       93221       65533      111727      179295      204499      204499      204499      204499      204499      199118      159131
1982	      110897       75919       53044       88341      123958      164796      204499      204499      204499      204499      204499      165266
1983	       88868       61175       60656       59946       67406      150833      161135      204499      203902      202709      118899       83257
1984	       54940       46921       23468       27206       86662      185903      204499      204499      161058      189522      145235      113459
1985	       66075       38906       19806       21097       71884      133214      203300      204499      204499      178081      137354      124525
1986	       98743       58765       41530       40336      140394      186495      204499      204499      204499      204499      204499      204499
1987	      164100      114049       71126      136281      156921      204499      204499      204499      204499      204499      167068        -999
1988	        -999       57394       40833       51386      104985      140492      176271      204499      204499      184109      120287       75443
1989	       15466        9222        7351       26109       40360      124063      141130      152681      178686      105020       63819       24756
1990	       12959        7976        4262       20499       57096      119138      157435      201498      204499      204499      203902      182254
1991	       20420        9227        2443        3055      134447      204499      204499      204499      204499      204499      188314      123116
1992	       94917       58743       67563       90384      155105      204499      204499      204499      204499      189525      132490       67296
1993	       47657       26031       23525       34077      103258      172657      203900      204499      204499      204499      199112      119080
1994	       71135       36565       29123       22323       72490      164189      204499      204499      204499      204499      204499      107257
1995	       51296       25361       18578       33534       89139      188307      204499      204499      204499      176742      171374      118782
1996	       70953       44467       29718       30303       53992      153880      203900      204499      202701      188924      153243      107415
1997	       38955       27211       17912       30422      109261      172656      204499      204499      204499      204499      204499       82016
1998	       31590       16061       14840       12328      114222      145933      156305      194923      204499      151296      119587       99359
1999	       17879       11094        9222        9846       12357      135646      166578      204499      204499      204499      187102       85596
2000	       56168       28461       16682       17315       52009      118508      164796      204499      204499      204499      150860      101422
2001	       50843        8622        5508        9297       19821      120963      198500      204499      204499      168927      115111       86939
2002	       61640       40028       41311       28496      154500      201496      204499      204499      204499      204499      196122      133190
2003	       37794       21654        8658       10499       94080      144170      187083      202703      204499      203902      162980      128180
2004	       24799        7351        3638        3649       83620      155695      196684      204499      204499      204499      204499      153118
2005	      119586       72931       45249       73753      119751      185896      204499      204499      204499      199718      154121      146898
2006	       73551       47668       34067       29155       78036      146599      183469      204499      204499      204499      125742       72375
2007	       19806        9848        3076       20528       34134      103865      181662      204499      195521      136146      107442       51481
2008	       11096        3638        3638        4890       12388       73095      172573      204499      204499       93090       58622       28410
2009	       12956        9842        4261       14264       11765       68205      185277      204499      204499      199121      185907      100765
2010	       16101        7380        3653        6155       55864      128288      194884      204499      204499       85252       51221       45131
2011	       16064        7356        4239       16768       31640      108031      188259      204499      204499      204499      141019       88835
2012	       69813       30963       13591       12385       34167      141729      164108      204499      199120      188925      188917      150183
2013	       37223        5508        3638        3638       90377      171366      204499      204499      204499      202111      204499      200914
2014	      117786       35998       13029       32933       66351      139317      203900      204499      204499      204499      191925      144721
2015	       40335       19827       12969       16728      106943      196695      204499      204499      204499      204499      204499      173223
2016	      142277       59467       40299      141753      195496      203902      204499      204499      204499      120483      107626       75875
2017	       50096       24768       16695       27296       33530       94684      159921      193692      204499      204499      203301      118414
2018	       57635       11116        7375       10497       72535      130787      204499      204499      204499      204499      151995      112834
2019	       84002       46530       31053       19233      125278      159352      194877      204499      204499      204499      166558      148965
2020	       40294       11122        4283        8027       58951      134439      191279      204499      204499      204499      101179       56837
2021	       21054        1868        1246        3731       61465      124705      138044        -999        -999        -999        -999        -999
