Monthly Open Water Area (km^2) for new PAL sampling area (-200 to 600 lines)
Dataset: GSFC Bootstrap time series data Version 3.0 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021
Nodata: -999.00
OW:     open water area inside the ice edge (i.e., extent - area)
Caution: The 2021 monthly data are preliminary and will be updated when available
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec

1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999       23371       29923
1979	       30936       41992       34729       45872       64663       34904       23264       20101       14311       25302       23869       35282
1980	       34589       39760       42662       61183       46193       33157       15982       12642       12791        9633       25813       70165
1981	       49784       38579       29064       62338       56876       32247       30554       22014       19826       18980       43017       42155
1982	       42121       35560       26645       47978       47933       47177       31256       14828       15493       21977       36328       53324
1983	       37830       30477       33160       32348       40247       67081       41779       61843       52706       53575       40533       33402
1984	       26013       25920       14451       17578       48951       48081       23526       18909       45631       41422       34667       42183
1985	       30417       21174       12582       14002       45482       46390       49214       34726       49660       39605       25729       31863
1986	       35958       23645       20697       21404       75391       56212       39328       14172       10072        9540       19491       41745
1987	       50258       49508       31661       47381       52704       44145       10975        8677       15008       24524       31182        -999
1988	        -999       23999       18648       27164       55243       61310       42217       29897       22011       44544       40313       30364
1989	        9040        5630        5090       18640       29117       48786       46127       58636       59979       45208       28211       12635
1990	        7914        5412        2803       16029       30455       56974       43886       42876       18183       18325       28664       71037
1991	       12903        6311        1786        2390       70928       32331       26390       12588       19854       24787       36697       30968
1992	       38139       29492       39472       37495       53132       37435       12272       21503       46685       71620       46716       22320
1993	       20599       11073       13514       18785       49138       42024       38400       79424       31947       20720       64825       32320
1994	       22220       14010       14204       10874       42018       33786       29633       11173       28001       20479       61793       37929
1995	       25013       12820       11008       20795       56739       59895       23981        9992       11178       29490       40477       33618
1996	       25467       18530       13962       16803       31405       55800       37930       17906       49935       38893       31839       42605
1997	       17437       15851       10942       20301       53899       68483       28016       23558       15776       31739       61813       31228
1998	       15392        8201        9087        7578       64630       72259       53718       76980       38509       56557       43901       52366
1999	       10209        6843        5745        6434        8638       66601       38524       23137       21470       32916       76390       26740
2000	       24764       14084        8749       10532       32611       71756       52815       44800       30026       32666       33821       24412
2001	       29653        5608        3804        6802       14691       55851       46207       24885       18785       49569       31284       23803
2002	       21996       16159       24910       17183       67201       30498       21430       27413       29199       35618       48055       56637
2003	       15482       11927        5379        6889       42300       42461       52221       57753       30944       34521       34668       59396
2004	       14051        5019        2578        2666       44016       45937       39390       17820       14105        9583       26025       25924
2005	       35625       32435       19888       39498       41068       46226       24858       11475       11266       36649       29978       46667
2006	       21880       17551       14382       15314       45108       68227       57091       25751       29290       54681       30483       32031
2007	       10577        6237        2365       15308       21404       47653       51581       33747       59955       58124       42578       27727
2008	        7282        2159        2275        3560        9602       35478       55573       52014       79904       45842       29122       14051
2009	        7431        6834        2870       11074        7935       40669       58353       50156       27610       40793       47354       55230
2010	        9859        4890        2603        4698       34226       58317       56746       33265       54493       40813       26840       23534
2011	        8639        5298        2828       13041       22868       50745       47467       13430       18290       29710       28276       24968
2012	       27945       16916        8529        7747       25096       42983       32917       34609       40146       39582       39953       72095
2013	       23915        3589        2420        2487       43989       38025       33833       19317       10761       30548       21320       40120
2014	       63359       21683        8832       22027       44820       50104       60509       23362       28683       27629       39084       52019
2015	       15836        9834        7890        9801       69247       39029       15256       16091       15076       20347       33700       41710
2016	       56151       20735       16425       72569       57911       82547       44030       21370       57204       36537       34601       24415
2017	       22514       11210        8279       17383       21147       62308       47191       48162       25127       28871       40770       33833
2018	       35169        6699        5250        7844       36750       45127       41668       23686       21049       26019       26517       25273
2019	       28084       18036       16957       11064       76605       39281       36625       33736       18239       27441       25894       49973
2020	       20344        6933        3343        6195       32660       61565       41328       37432       23522       28136       40046       20768
2021	       13741        1189         953        2966       40761       40324       69823        -999        -999        -999        -999        -999
