time,avg_temperature,avg_pressure,peak_windspeed,avg_windspeed,wind_dir_1,wind_dir_2,wind_dir_3,wind_direction_prevailing,rainfall,wind_dir_4
1/04/1989,0.9,1000.7,18,4,110,NaN,NaN,SW,0,NaN
2/04/1989,-0.8,996.25,24,9,30,NaN,NaN,NE,0,NaN
3/04/1989,-2.05,996.65,13,8,60,NaN,NaN,NE,0,NaN
4/04/1989,-1.65,1000.05,14,6,210,NaN,NaN,NW,0,NaN
5/04/1989,-1.75,999.5,14,4,230,NaN,NaN,SW,0,NaN
6/04/1989,-0.3,995.95,15,4,180,NaN,NaN,W,0,NaN
7/04/1989,-2.3,991.9,16,8,40,NaN,NaN,NE,1,NaN
8/04/1989,-2.65,989.9,39,14,120,NaN,NaN,E,0,NaN
9/04/1989,-2.5,999.85,27,11,50,NaN,NaN,E,0,NaN
10/04/1989,-2.65,998.9,16,6,60,NaN,NaN,NE,-998,NaN
11/04/1989,-2.25,991.55,12,8,360,NaN,NaN,W,-998,NaN
12/04/1989,-3.2,988.4,30,12,260,NaN,NaN,SE,-998,NaN
13/04/1989,-5.35,998.8,16,10,30,NaN,NaN,SW,0,NaN
14/04/1989,-4.95,1002.1,13,6,70,NaN,NaN,E,0,NaN
15/04/1989,-1.9,994.55,18,6,130,NaN,NaN,SE,-998,NaN
16/04/1989,1.8,985.9,32,16,80,NaN,NaN,N,0,NaN
17/04/1989,0.15,987.45,19,6,250,NaN,NaN,N,0,NaN
18/04/1989,-1.95,992.65,25,8,30,NaN,NaN,NE,2,NaN
19/04/1989,-4.55,995.5,26,10,40,NaN,NaN,NE,0,NaN
20/04/1989,-4.45,993.45,19,5,90,NaN,NaN,N,1,NaN
21/04/1989,-1.45,987.6,10,4,310,NaN,NaN,N,2,NaN
22/04/1989,-0.6,982.5,20,2,10,NaN,NaN,N,4,NaN
23/04/1989,-1.1,984.1,33,15,30,NaN,NaN,N,-998,NaN
24/04/1989,-2.2,981.7,33,16,360,NaN,NaN,E,2,NaN
25/04/1989,-1.65,987.8,22,8,110,NaN,NaN,NW,2,NaN
26/04/1989,-2.1,995.2,16,8,240,NaN,NaN,SW,0,NaN
27/04/1989,-1.65,989,24,10,330,NaN,NaN,NW,1,NaN
28/04/1989,-1.25,979.2,20,12,210,NaN,NaN,W,4,NaN
29/04/1989,-1.8,988.5,17,12,20,NaN,NaN,N,0,NaN
30/04/1989,-0.25,986,45,16,40,NaN,NaN,NE,0,NaN
1/05/1989,-1,985.9,40,10,60,NaN,NaN,N,0,NaN
2/05/1989,-2.05,1003.15,21,8,220,NaN,NaN,SW,-998,NaN
3/05/1989,1.45,1005.55,40,10,40,NaN,NaN,N,1,NaN
4/05/1989,-1.1,999.35,20,8,360,NaN,NaN,NW,0,NaN
5/05/1989,0,987.5,42,22,360,NaN,NaN,W,-998,NaN
6/05/1989,-0.55,982.1,46,18,30,NaN,NaN,S,0,NaN
7/05/1989,2.35,980.3,40,15,30,NaN,NaN,E,0,NaN
8/05/1989,2.05,977.5,61,24,30,NaN,NaN,N,6,NaN
9/05/1989,-0.5,972.2,18,5,310,NaN,NaN,NE,0,NaN
10/05/1989,-3.9,975.9,52,28,30,NaN,NaN,NE,-998,NaN
11/05/1989,-5.2,986.55,26,14,30,NaN,NaN,NE,2,NaN
