index,study_name,time,island_name,colony_code,band_number,year,breeding_status,position_code,sex
,,UTC,,,,,,,
0,PAL9192,1991-10-23T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
1,PAL9192,1991-10-23T00:00:00Z,HUM,3.0,1885,88.0,W,E,U
2,PAL9192,1991-10-25T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
3,PAL9192,1991-10-25T00:00:00Z,HUM,2.2,1885,88.0,P,E,FS
4,PAL9192,1991-10-27T00:00:00Z,HUM,2.1,1885,88.0,P,C,FS
5,PAL9192,1991-10-29T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
6,PAL9192,1991-10-29T00:00:00Z,HUM,2.0,744,87.0,P,C,MB
7,PAL9192,1991-10-29T00:00:00Z,HUM,2.0,924,87.0,P,E,FS
8,PAL9192,1991-10-29T00:00:00Z,HUM,2.0,1279,88.0,P,E,FS
9,PAL9192,1991-10-29T00:00:00Z,HUM,5.0,1288,88.0,W,E,U
10,PAL9192,1991-10-29T00:00:00Z,HUM,2.1,1885,88.0,P,C,FS
11,PAL9192,1991-10-29T00:00:00Z,HUM,3.0,1955,88.0,A,C,MS
12,PAL9192,1991-11-05T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
13,PAL9192,1991-11-05T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
14,PAL9192,1991-11-05T00:00:00Z,HUM,3.0,422,87.0,W,E,U
15,PAL9192,1991-11-05T00:00:00Z,HUM,2.0,744,87.0,P,C,MS
16,PAL9192,1991-11-05T00:00:00Z,HUM,2.0,757,87.0,P,E,MS
17,PAL9192,1991-11-05T00:00:00Z,HUM,2.1,806,87.0,W,U,U
18,PAL9192,1991-11-05T00:00:00Z,HUM,2.0,924,87.0,P,E,FS
19,PAL9192,1991-11-05T00:00:00Z,TOR,11.0,1239,88.0,P,E,MS
20,PAL9192,1991-11-05T00:00:00Z,HUM,2.1,1279,88.0,P,E,FS
21,PAL9192,1991-11-05T00:00:00Z,HUM,3.0,1567,88.0,P,E,U
22,PAL9192,1991-11-05T00:00:00Z,HUM,3.0,1836,88.0,W,E,U
23,PAL9192,1991-11-05T00:00:00Z,HUM,4.0,1837,88.0,P,E,FS
24,PAL9192,1991-11-05T00:00:00Z,HUM,4.0,1837,88.0,P,E,FS
25,PAL9192,1991-11-05T00:00:00Z,HUM,2.1,1885,88.0,P,C,FS
26,PAL9192,1991-11-05T00:00:00Z,HUM,3.0,1922,88.0,W,E,U
27,PAL9192,1991-11-07T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
28,PAL9192,1991-11-07T00:00:00Z,HUM,4.0,415,87.0,P,E,FS
29,PAL9192,1991-11-07T00:00:00Z,HUM,3.0,422,87.0,P,E,MS
30,PAL9192,1991-11-07T00:00:00Z,HUM,2.0,744,87.0,P,C,MS
31,PAL9192,1991-11-07T00:00:00Z,HUM,2.0,757,87.0,P,E,MS
32,PAL9192,1991-11-07T00:00:00Z,HUM,2.0,806,87.0,P,E,FS
33,PAL9192,1991-11-07T00:00:00Z,HUM,2.0,924,87.0,P,E,FS
34,PAL9192,1991-11-07T00:00:00Z,HUM,2.1,1027,88.0,W,E,U
35,PAL9192,1991-11-07T00:00:00Z,TOR,23.0,1239,88.0,W,E,U
36,PAL9192,1991-11-07T00:00:00Z,HUM,2.1,1279,88.0,P,E,FS
37,PAL9192,1991-11-07T00:00:00Z,HUM,3.0,1567,88.0,W,E,U
38,PAL9192,1991-11-07T00:00:00Z,TOR,20.0,1836,88.0,W,E,U
39,PAL9192,1991-11-07T00:00:00Z,HUM,4.0,1837,88.0,P,C,FS
40,PAL9192,1991-11-07T00:00:00Z,HUM,4.0,1837,88.0,P,E,FS
41,PAL9192,1991-11-07T00:00:00Z,HUM,2.1,1885,88.0,P,C,FS
42,PAL9192,1991-11-07T00:00:00Z,HUM,3.0,1922,88.0,W,E,U
43,PAL9192,1991-11-07T00:00:00Z,HUM,3.0,1955,88.0,P,E,U
44,PAL9192,1991-11-11T00:00:00Z,TOR,16.0,27,87.0,P,C,FS
45,PAL9192,1991-11-11T00:00:00Z,HUM,3.0,422,87.0,P,E,MS
