study_name,time,island_name,colony_code,num_breeding_pairs
,UTC,,,
PAL9192,1991-11-03T00:00:00Z,TOR,1.0,143
PAL9192,1991-11-03T00:00:00Z,TOR,2.0,65
PAL9192,1991-11-03T00:00:00Z,TOR,3.0,25
PAL9192,1991-11-03T00:00:00Z,TOR,4.0,306
PAL9192,1991-11-03T00:00:00Z,TOR,5.0,134
PAL9192,1991-11-03T00:00:00Z,TOR,6.0,144
PAL9192,1991-11-03T00:00:00Z,TOR,12.0,220
PAL9192,1991-11-03T00:00:00Z,TOR,13.0,282
PAL9192,1991-11-03T00:00:00Z,TOR,15.0,165
PAL9192,1991-11-03T00:00:00Z,TOR,17.0,25
PAL9192,1991-11-03T00:00:00Z,TOR,18.0,290
PAL9192,1991-11-03T00:00:00Z,TOR,19.0,460
PAL9192,1991-11-03T00:00:00Z,TOR,20.0,243
PAL9192,1991-11-03T00:00:00Z,TOR,21.0,153
PAL9192,1991-11-03T00:00:00Z,TOR,22.0,121
PAL9192,1991-11-03T00:00:00Z,TOR,23.0,211
PAL9192,1991-11-03T00:00:00Z,TOR,23.1,29
PAL9192,1991-12-03T00:00:00Z,CHR,1.0,207
PAL9192,1991-12-03T00:00:00Z,CHR,2.0,182
PAL9192,1991-12-03T00:00:00Z,CHR,3.0,152
PAL9192,1991-12-03T00:00:00Z,CHR,3.1,0
PAL9192,1991-12-03T00:00:00Z,CHR,4.1,20
PAL9192,1991-12-03T00:00:00Z,CHR,4.2,0
PAL9192,1991-12-03T00:00:00Z,CHR,5.0,26
PAL9192,1991-12-03T00:00:00Z,CHR,6.0,119
PAL9192,1991-12-03T00:00:00Z,CHR,7.0,317
PAL9192,1991-12-03T00:00:00Z,CHR,7.1,26
PAL9192,1991-12-03T00:00:00Z,CHR,7.2,65
PAL9192,1991-12-03T00:00:00Z,CHR,8.0,166
PAL9192,1991-12-03T00:00:00Z,CHR,9.1,115
PAL9192,1991-12-03T00:00:00Z,CHR,10.0,15
PAL9192,1991-12-03T00:00:00Z,COR,1.0,7
PAL9192,1991-12-03T00:00:00Z,COR,2.0,79
PAL9192,1991-12-03T00:00:00Z,COR,3.0,36
PAL9192,1991-12-03T00:00:00Z,COR,4.0,18
PAL9192,1991-12-03T00:00:00Z,COR,5.0,309
PAL9192,1991-12-03T00:00:00Z,COR,5.1,137
PAL9192,1991-12-03T00:00:00Z,COR,6.0,95
PAL9192,1991-12-03T00:00:00Z,HUM,1.1,22
PAL9192,1991-12-03T00:00:00Z,HUM,1.2,31
PAL9192,1991-12-03T00:00:00Z,HUM,1.3,14
PAL9192,1991-12-03T00:00:00Z,HUM,2.1,130
PAL9192,1991-12-03T00:00:00Z,HUM,2.2,64
PAL9192,1991-12-03T00:00:00Z,HUM,3.0,289
PAL9192,1991-12-03T00:00:00Z,HUM,3.1,66
PAL9192,1991-12-03T00:00:00Z,HUM,4.0,104
PAL9192,1991-12-03T00:00:00Z,HUM,5.0,365
PAL9192,1991-12-07T00:00:00Z,LIT,1.0,15
PAL9192,1991-12-07T00:00:00Z,LIT,2.0,34
PAL9192,1991-12-07T00:00:00Z,LIT,3.0,7
PAL9192,1991-12-07T00:00:00Z,LIT,4.0,29
