study_name,time,event_number,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count,fish_weight,fish_count
,UTC,,gram,gram,,gram,,gram,
PAL9192,1992-01-15T00:00:00Z,91001,0,389,754,0,0,0,0
PAL9192,1992-01-15T00:00:00Z,91002,0,478,860,0,0,0,0
PAL9192,1992-01-15T00:00:00Z,91003,0,350,739,0,0,0,0
PAL9192,1992-01-15T00:00:00Z,91004,0,269,888,0,0,0,0
PAL9192,1992-01-15T00:00:00Z,91005,0,331,530,0,0,0,0
PAL9192,1992-01-20T00:00:00Z,91006,0,267,445,0,0,0,0
PAL9192,1992-01-20T00:00:00Z,91007,0,271,467,0,0,0,0
PAL9192,1992-01-20T00:00:00Z,91008,0,364,587,0,0,0,0
PAL9192,1992-01-20T00:00:00Z,91009,0,346,541,0,0,0,0
PAL9192,1992-01-20T00:00:00Z,91010,0,278,534,0,0,0,0
PAL9192,1992-01-25T00:00:00Z,91011,0,397,639,0,0,0,0
PAL9192,1992-01-25T00:00:00Z,91012,0,433,941,0,0,0,0
PAL9192,1992-01-25T00:00:00Z,91013,0,420,878,0,0,0,0
PAL9192,1992-01-25T00:00:00Z,91014,0,234,395,234,2220,0,0
PAL9192,1992-01-25T00:00:00Z,91015,0,240,595,25,125,0,0
PAL9192,1992-01-30T00:00:00Z,91016,0,340,486,0,0,0,0
PAL9192,1992-01-30T00:00:00Z,91017,0,328,713,0,0,0,0
PAL9192,1992-01-30T00:00:00Z,91018,0,411,1013,0,0,0,0
PAL9192,1992-01-30T00:00:00Z,91019,0,349,428,0,0,0,0
PAL9192,1992-01-30T00:00:00Z,91020,0,293,670,0,0,0,0
PAL9192,1992-02-04T00:00:00Z,91021,0,455,565,0,0,0,0
PAL9192,1992-02-04T00:00:00Z,91022,0,509,1034,0,0,0,0
PAL9192,1992-02-04T00:00:00Z,91023,0,660,1022,0,0,5,2
PAL9192,1992-02-04T00:00:00Z,91024,0,355,619,0,0,0,0
PAL9192,1992-02-04T00:00:00Z,91025,0,430,862,0,0,1,2
PAL9192,1992-02-09T00:00:00Z,91026,0,400,552,0,0,7,1
PAL9192,1992-02-09T00:00:00Z,91027,0,855,1450,0,0,2,1
PAL9192,1992-02-09T00:00:00Z,91028,0,570,1123,0,0,1,1
PAL9192,1992-02-09T00:00:00Z,91029,0,359,530,0,0,0,0
PAL9192,1992-02-09T00:00:00Z,91030,0,401,1088,0,0,0,0
PAL9192,1992-02-14T00:00:00Z,91031,0,300,587,0,0,2,1
PAL9192,1992-02-14T00:00:00Z,91032,0,806,1612,0,0,0,0
PAL9192,1992-02-14T00:00:00Z,91033,0,760,760,0,0,0,0
PAL9192,1992-02-14T00:00:00Z,91034,0,357,515,0,0,0,0
PAL9192,1992-02-14T00:00:00Z,91035,0,478,933,0,0,0,0
PAL9192,1992-02-19T00:00:00Z,91036,0,336,519,0,0,0,0
PAL9192,1992-02-19T00:00:00Z,91037,0,251,396,0,0,0,0
PAL9192,1992-02-19T00:00:00Z,91038,0,445,662,0,0,0,0
PAL9192,1992-02-19T00:00:00Z,91039,0,371,468,0,0,0,0
PAL9192,1992-02-19T00:00:00Z,91040,0,315,612,0,0,1,2
PAL9293,1993-01-11T00:00:00Z,92001,439,624,1376,0,0,0,0
PAL9293,1993-01-11T00:00:00Z,92002,212,390,650,0,0,0,0
PAL9293,1993-01-11T00:00:00Z,92003,220,466,645,0,0,0,0
PAL9293,1993-01-11T00:00:00Z,92004,247,350,569,0,0,0,0
PAL9293,1993-01-11T00:00:00Z,92005,113,141,329,0,0,0,0
PAL9293,1993-01-19T00:00:00Z,92006,157,157,547,0,0,0,0
PAL9293,1993-01-19T00:00:00Z,92007,207,207,759,0,0,0,0
PAL9293,1993-01-19T00:00:00Z,92008,350,350,1203,0,0,0,0
PAL9293,1993-01-19T00:00:00Z,92009,171,171,617,0,0,0,0
PAL9293,1993-01-19T00:00:00Z,92010,187,187,556,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,92011,246,297,1025,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,92012,216,216,888,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,92013,140,174,514,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,92014,137,211,594,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,92015,174,198,526,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,92016,145,239,453,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,92017,216,563,728,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,92018,166,418,462,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,92019,199,566,448,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,92020,182,357,757,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,92021,213,446,617,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,92022,199,199,630,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,92023,260,738,781,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,92024,367,479,1099,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,92025,176,340,527,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,92026,260,404,753,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,92027,253,355,605,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,92028,254,414,650,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,92029,190,342,494,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,92030,199,430,415,0,0,0,0
PAL9293,1993-02-14T00:00:00Z,92031,179,324,358,0,0,39,1
PAL9293,1993-02-14T00:00:00Z,92032,215,30,77,185,231,39,1
PAL9293,1993-02-14T00:00:00Z,92033,209,363,559,0,0,2,1
PAL9293,1993-02-14T00:00:00Z,92034,277,518,604,0,0,1,1
PAL9293,1993-02-14T00:00:00Z,92035,211,339,460,0,0,0,0
PAL9293,1993-02-19T00:00:00Z,92036,170,520,354,0,0,0,0
PAL9293,1993-02-19T00:00:00Z,92037,169,285,367,0,0,4,1
PAL9293,1993-02-19T00:00:00Z,92038,235,435,490,0,0,13,1
PAL9293,1993-02-19T00:00:00Z,92039,205,415,466,0,0,0,0
PAL9293,1993-02-19T00:00:00Z,92040,397,489,818,120,2454,0,0
PAL9394,1994-01-11T00:00:00Z,93001,255,484,405,0,0,0,0
PAL9394,1994-01-11T00:00:00Z,93002,188,592,470,0,0,0,0
PAL9394,1994-01-11T00:00:00Z,93003,315,315,814,0,0,0,0
PAL9394,1994-01-11T00:00:00Z,93004,233,364,561,0,0,0,0
PAL9394,1994-01-11T00:00:00Z,93005,107,238,218,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,93006,148,393,400,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,93007,233,468,431,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,93008,152,412,385,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,93009,146,256,280,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,93010,340,605,657,0,0,0,0
PAL9394,1994-01-21T00:00:00Z,93011,138,258,296,0,0,0,0
PAL9394,1994-01-21T00:00:00Z,93012,185,415,353,0,0,0,0
PAL9394,1994-01-21T00:00:00Z,93013,166,481,368,0,0,0,0
PAL9394,1994-01-21T00:00:00Z,93014,135,565,355,0,0,0,0
PAL9394,1994-01-21T00:00:00Z,93015,71,71,132,0,0,0,0
PAL9394,1994-01-26T00:00:00Z,93016,383,383,926,0,0,0,0
PAL9394,1994-01-26T00:00:00Z,93017,150,150,375,0,0,0,0
PAL9394,1994-01-26T00:00:00Z,93018,207,332,391,0,0,0,0
PAL9394,1994-01-26T00:00:00Z,93019,181,361,427,0,0,0,0
PAL9394,1994-01-26T00:00:00Z,93020,207,207,414,0,0,0,0
PAL9394,1994-02-01T00:00:00Z,93021,211,306,440,0,0,0,0
PAL9394,1994-02-01T00:00:00Z,93022,191,351,392,0,0,0,0
PAL9394,1994-02-01T00:00:00Z,93023,186,281,465,0,0,0,0
PAL9394,1994-02-01T00:00:00Z,93024,349,489,632,0,0,0,0
PAL9394,1994-02-01T00:00:00Z,93025,181,241,461,0,0,0,0
PAL9394,1994-02-07T00:00:00Z,93026,145,356,294,14,168,1,1
PAL9394,1994-02-07T00:00:00Z,93027,196,361,377,20,240,0,0
PAL9394,1994-02-07T00:00:00Z,93028,188,404,348,19,228,0,0
PAL9394,1994-02-07T00:00:00Z,93029,129,276,280,13,156,0,0
PAL9394,1994-02-07T00:00:00Z,93030,257,617,490,0,0,0,0
PAL9394,1994-02-13T00:00:00Z,93031,145,185,290,0,0,0,0
PAL9394,1994-02-13T00:00:00Z,93032,189,609,363,0,0,0,0
PAL9394,1994-02-13T00:00:00Z,93033,378,378,727,0,0,0,0
PAL9394,1994-02-13T00:00:00Z,93034,188,398,368,21,252,0,0
PAL9394,1994-02-13T00:00:00Z,93035,351,351,650,0,0,0,0
PAL9394,1994-02-18T00:00:00Z,93036,162,372,352,0,0,0,0
PAL9394,1994-02-18T00:00:00Z,93037,239,215,498,184,1288,2,1
PAL9394,1994-02-18T00:00:00Z,93038,290,410,498,24,288,2,1
PAL9394,1994-02-18T00:00:00Z,93039,289,809,501,0,0,0,0
PAL9394,1994-02-18T00:00:00Z,93040,161,286,355,0,0,0,0
PAL9495,1995-01-11T00:00:00Z,94001,0,344,1222,10,120,0,0
PAL9495,1995-01-11T00:00:00Z,94002,0,2,7,287,3444,0,0
PAL9495,1995-01-11T00:00:00Z,94003,0,262,528,0,0,0,0
PAL9495,1995-01-11T00:00:00Z,94004,192,344,453,0,0,0,0
PAL9495,1995-01-11T00:00:00Z,94005,258,478,848,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,94006,252,392,695,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,94007,163,26,62,141,1765,0,0
PAL9495,1995-01-17T00:00:00Z,94008,247,572,512,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,94009,303,300,560,303,3755,0,0
PAL9495,1995-01-17T00:00:00Z,94010,80,210,162,0,0,0,0
PAL9495,1995-01-22T00:00:00Z,94011,184,52,155,352,1900,0,0
PAL9495,1995-01-22T00:00:00Z,94012,200,320,401,0,0,0,0
PAL9495,1995-01-22T00:00:00Z,94013,234,659,468,0,0,0,0
