study_name,time,island_name,colony_code,sample_number,organism_weight,sex,dorsal_ridge_length,dorsal_ridge_depth
,UTC,,,,gram,,mm,mm
PAL9192,1992-01-15T16:30:00Z,TOR,12,91001.0,4900.0,U,37.6,19.0
PAL9192,1992-01-15T16:30:00Z,TOR,12,91002.0,4650.0,U,37.5,18.7
PAL9192,1992-01-15T16:30:00Z,TOR,12,91003.0,4650.0,U,39.0,21.0
PAL9192,1992-01-15T16:30:00Z,TOR,12,91004.0,4450.0,U,34.9,17.6
PAL9192,1992-01-15T16:30:00Z,TOR,12,91005.0,4350.0,U,35.7,17.7
PAL9192,1992-01-20T18:30:00Z,TOR,12,91006.0,4200.0,U,40.0,18.3
PAL9192,1992-01-20T18:30:00Z,TOR,12,91007.0,4350.0,U,37.0,16.7
PAL9192,1992-01-20T18:30:00Z,TOR,12,91008.0,4100.0,U,39.0,17.0
PAL9192,1992-01-20T18:30:00Z,TOR,12,91009.0,4250.0,U,34.9,18.4
PAL9192,1992-01-20T18:30:00Z,TOR,12,91010.0,4350.0,U,36.8,18.0
PAL9192,1992-01-25T19:00:00Z,TOR,12,91011.0,4650.0,U,38.4,17.9
PAL9192,1992-01-25T19:00:00Z,TOR,12,91012.0,4350.0,U,37.5,17.8
PAL9192,1992-01-25T19:00:00Z,TOR,12,91013.0,4500.0,U,38.8,17.1
PAL9192,1992-01-25T19:00:00Z,TOR,12,91014.0,4050.0,U,35.6,14.7
PAL9192,1992-01-25T19:00:00Z,TOR,12,91015.0,4750.0,U,42.0,19.0
PAL9192,1992-01-30T17:30:00Z,TOR,12,91016.0,4650.0,U,42.4,19.5
PAL9192,1992-01-30T17:30:00Z,TOR,12,91017.0,4150.0,U,37.6,17.3
PAL9192,1992-01-30T17:30:00Z,TOR,12,91018.0,4550.0,U,38.5,19.3
PAL9192,1992-01-30T17:30:00Z,TOR,12,91019.0,4100.0,U,35.8,17.8
PAL9192,1992-01-30T17:30:00Z,TOR,12,91020.0,4150.0,U,37.7,16.8
PAL9192,1992-02-04T17:30:00Z,TOR,12,91021.0,4550.0,U,39.5,18.1
PAL9192,1992-02-04T17:30:00Z,TOR,12,91022.0,4650.0,U,41.0,19.1
PAL9192,1992-02-04T17:30:00Z,TOR,12,91023.0,4650.0,U,39.8,19.6
PAL9192,1992-02-04T17:30:00Z,TOR,12,91024.0,4150.0,U,35.8,19.4
PAL9192,1992-02-04T17:30:00Z,TOR,12,91025.0,4650.0,U,43.1,19.1
PAL9192,1992-02-09T16:00:00Z,TOR,12,91026.0,4350.0,U,34.7,18.3
PAL9192,1992-02-09T16:00:00Z,TOR,12,91027.0,4300.0,U,39.7,17.5
PAL9192,1992-02-09T16:00:00Z,TOR,12,91028.0,4950.0,U,43.9,18.5
PAL9192,1992-02-09T16:00:00Z,TOR,12,91029.0,4500.0,U,36.2,17.0
PAL9192,1992-02-09T16:00:00Z,TOR,12,91030.0,4750.0,U,36.1,16.4
PAL9192,1992-02-14T18:00:00Z,TOR,12,91031.0,5200.0,U,37.5,19.8
PAL9192,1992-02-14T18:00:00Z,TOR,12,91032.0,5100.0,U,43.4,20.0
PAL9192,1992-02-14T18:00:00Z,TOR,12,91033.0,4700.0,U,40.5,17.9
