study_name,time,island_name,colony_code,band_number,weight
,UTC,,,,gram
PAL9192,1992-02-07T00:00:00Z,HUM,BCH,4622.0,2800.0
PAL9192,1992-02-09T00:00:00Z,HUM,BCH,4184.0,3350.0
PAL9192,1992-02-09T00:00:00Z,HUM,BCH,4420.0,3150.0
PAL9192,1992-02-09T00:00:00Z,HUM,BCH,4650.0,3400.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4063.0,3450.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4080.0,3250.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4103.0,3350.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4110.0,3400.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4188.0,3500.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4231.0,3150.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4232.0,3150.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4377.0,3050.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4442.0,3100.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4527.0,2950.0
PAL9192,1992-02-11T00:00:00Z,HUM,BCH,4603.0,2850.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4012.0,3000.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4034.0,2150.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4038.0,3450.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4061.0,3550.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4093.0,2750.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4118.0,3350.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4119.0,3400.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4140.0,3450.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4230.0,3250.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4348.0,3150.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4415.0,3800.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4509.0,2950.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4620.0,3550.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4732.0,3550.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4803.0,2750.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4846.0,2950.0
PAL9192,1992-02-13T00:00:00Z,HUM,BCH,4979.0,2900.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4009.0,3350.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4025.0,3600.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4053.0,3400.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4085.0,3450.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4168.0,3300.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4187.0,3350.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4205.0,3550.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4224.0,2500.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4286.0,3650.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4383.0,2550.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4459.0,3350.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4502.0,3450.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4557.0,3100.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4657.0,3250.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4666.0,3400.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4697.0,2950.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4771.0,3050.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4823.0,3200.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4836.0,2700.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4837.0,3750.0
PAL9192,1992-02-15T00:00:00Z,HUM,BCH,4903.0,3150.0
