study_name,time,year,chinstrap_num_breeding_pairs,adelie_num_breeding_pairs,gentoo_num_breeding_pairs
,UTC,UTC,,,
PAL-LTER Derived Datasets,2006-01-01T00:00:00Z,1970-01-01T01:57:20Z,245,3393,977
PAL-LTER Derived Datasets,2005-01-01T00:00:00Z,1969-12-31T22:17:36Z,223,4100,902
PAL-LTER Derived Datasets,2004-01-01T00:00:00Z,1970-01-01T07:02:24Z,103,4805,753
PAL-LTER Derived Datasets,2003-01-01T00:00:00Z,1970-01-01T03:22:40Z,304,5350,644
PAL-LTER Derived Datasets,2002-01-01T00:00:00Z,1969-12-31T23:42:56Z,286,5635,639
PAL-LTER Derived Datasets,2001-01-01T00:00:00Z,1969-12-31T20:03:12Z,254,4288,288
PAL-LTER Derived Datasets,2000-01-01T00:00:00Z,1970-01-01T04:48:00Z,307,7161,296
PAL-LTER Derived Datasets,1999-01-01T00:00:00Z,1970-01-01T01:08:16Z,230,7796,149
PAL-LTER Derived Datasets,1998-01-01T00:00:00Z,1969-12-31T21:28:32Z,187,8423,26
PAL-LTER Derived Datasets,1997-01-01T00:00:00Z,1969-12-31T17:48:48Z,251,8877,57
PAL-LTER Derived Datasets,1996-01-01T00:00:00Z,1970-01-01T02:33:36Z,233,9258,45
PAL-LTER Derived Datasets,1995-01-01T00:00:00Z,1969-12-31T22:53:52Z,252,11063,36
PAL-LTER Derived Datasets,1994-01-01T00:00:00Z,1969-12-31T19:14:08Z,204,11056,32
PAL-LTER Derived Datasets,1993-01-01T00:00:00Z,1969-12-31T15:34:24Z,214,12004,14
PAL-LTER Derived Datasets,1992-01-01T00:00:00Z,1970-01-01T00:19:12Z,179,12088,NaN
PAL-LTER Derived Datasets,1991-01-01T00:00:00Z,1969-12-31T20:39:28Z,162,12380,NaN
PAL-LTER Derived Datasets,1990-01-01T00:00:00Z,1969-12-31T16:59:44Z,221,11626,NaN
PAL-LTER Derived Datasets,1989-01-01T00:00:00Z,1970-01-01T07:32:16Z,203,13082,NaN
PAL-LTER Derived Datasets,1988-01-01T00:00:00Z,1969-12-31T22:04:48Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1987-01-01T00:00:00Z,1969-12-31T18:25:04Z,NaN,10147,NaN
PAL-LTER Derived Datasets,1986-01-01T00:00:00Z,1970-01-01T08:57:36Z,NaN,13117,NaN
PAL-LTER Derived Datasets,1985-01-01T00:00:00Z,1970-01-01T05:17:52Z,150,NaN,NaN
PAL-LTER Derived Datasets,1984-01-01T00:00:00Z,1969-12-31T19:50:24Z,109,NaN,NaN
PAL-LTER Derived Datasets,1983-01-01T00:00:00Z,1969-12-31T16:10:40Z,99,13461,NaN
PAL-LTER Derived Datasets,1982-01-01T00:00:00Z,1970-01-01T06:43:12Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1981-01-01T00:00:00Z,1970-01-01T03:03:28Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1980-01-01T00:00:00Z,1969-12-31T17:36:00Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1979-01-01T00:00:00Z,1970-01-01T08:08:32Z,NaN,13701,NaN
PAL-LTER Derived Datasets,1978-01-01T00:00:00Z,1970-01-01T04:28:48Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1977-01-01T00:00:00Z,1970-01-01T00:49:04Z,46,NaN,NaN
PAL-LTER Derived Datasets,1976-01-01T00:00:00Z,1969-12-31T15:21:36Z,10,NaN,NaN
PAL-LTER Derived Datasets,1975-01-01T00:00:00Z,1970-01-01T05:54:08Z,NaN,15202,NaN
PAL-LTER Derived Datasets,1974-01-01T00:00:00Z,1970-01-01T02:14:24Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1973-01-01T00:00:00Z,1969-12-31T22:34:40Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1972-01-01T00:00:00Z,1970-01-01T07:19:28Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1971-01-01T00:00:00Z,1970-01-01T03:39:44Z,NaN,NaN,NaN
PAL-LTER Derived Datasets,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,NaN,NaN,NaN
