time,prey_type,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight
4/02/1992,FISH,4,1.7,0,0,0
4/02/1992,FISH,4,1.7,0,0,0
9/02/1992,FISH,1,1.8,0,0,0
9/02/1992,FISH,1,1.9,0,0,0
9/02/1992,FISH,1,1.6,0,0,0
14/02/1992,FISH,1,1.8,0,0,0
19/02/1992,FISH,1,1.6,0,0,0
14/02/1993,FISH,1,2.7,0,0,0
19/02/1993,FISH,1,0,0,0,0
18/02/1994,FISH,1,2.1,10,0,0
22/01/1995,FISH,1,0,2,0,0
27/01/1995,FISH,1,0,3,0,0
2/02/1995,FISH,1,0,1,0,0
13/02/1995,FISH,1,0,1,0,0
13/02/1995,FISH,1,0,1,0,0
13/02/1995,FISH,1,0,1,0,0
13/02/1995,FISH,1,0,6,0,0
18/02/1995,FISH,1,0,1,0,0
18/02/1995,FISH,1,0,1,0,0
16/01/1996,FISH,1,0,2,0,0
16/01/1996,FISH,1,0,1,0,0
16/01/1996,FISH,1,0,1,0,0
22/01/1996,FISH,1,0,15,0,0
22/01/1996,FISH,1,0,2,0,0
22/01/1996,FISH,2,0,0,0,0
27/01/1996,FISH,1,0,1,0,0
27/01/1996,FISH,1,0,1,0,0
1/02/1996,FISH,1,0,21,0,0
1/02/1996,FISH,1,0,8,0,0
1/02/1996,FISH,1,0,1,0,0
1/02/1996,FISH,1,0,6,0,0
6/02/1996,FISH,1,0,3,0,0
11/02/1996,FISH,1,0,6,0,0
11/02/1996,FISH,1,0,4,0,0
11/02/1996,FISH,3,0,10,0,0
17/02/1996,FISH,1,0,2,0,0
17/02/1996,FISH,1,0,8,0,0
17/02/1996,FISH,1,0,10,0,0
26/01/1997,FISH,1,0,2,0,0
5/02/1997,FISH,1,0,2,0,0
5/02/1997,FISH,1,0,1,0,0
15/02/1997,FISH,1,0,1,0,0
15/02/1998,FISH,1,0,1,0,0
20/02/1998,FISH,1,0,1,0,0
20/02/1998,FISH,1,0,10,0,0
21/01/1999,FISH,1,0,1,0,0
