time,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count
15/01/1992,0,389,754,0,0
15/01/1992,0,478,860,0,0
15/01/1992,0,350,739,0,0
15/01/1992,0,269,888,0,0
15/01/1992,0,331,530,0,0
20/01/1992,0,267,445,0,0
20/01/1992,0,271,467,0,0
20/01/1992,0,364,587,0,0
20/01/1992,0,346,541,0,0
20/01/1992,0,278,534,0,0
25/01/1992,0,397,639,0,0
25/01/1992,0,433,941,0,0
25/01/1992,0,420,878,0,0
25/01/1992,0,234,395,234,2220
25/01/1992,0,240,595,25,125
30/01/1992,0,340,486,0,0
30/01/1992,0,328,713,0,0
30/01/1992,0,411,1013,0,0
30/01/1992,0,349,428,0,0
30/01/1992,0,293,670,0,0
4/02/1992,0,455,565,0,0
4/02/1992,0,509,1034,0,0
4/02/1992,0,660,1022,0,0
4/02/1992,0,355,619,0,0
4/02/1992,0,430,862,0,0
9/02/1992,0,400,552,0,0
9/02/1992,0,855,1450,0,0
9/02/1992,0,570,1123,0,0
9/02/1992,0,359,530,0,0
9/02/1992,0,401,1088,0,0
14/02/1992,0,300,587,0,0
14/02/1992,0,806,1612,0,0
14/02/1992,0,760,760,0,0
14/02/1992,0,357,515,0,0
14/02/1992,0,478,933,0,0
19/02/1992,0,336,519,0,0
19/02/1992,0,251,396,0,0
19/02/1992,0,445,662,0,0
19/02/1992,0,371,468,0,0
19/02/1992,0,315,612,0,0
11/01/1993,439,624,1376,0,0
11/01/1993,212,390,650,0,0
11/01/1993,220,466,645,0,0
11/01/1993,247,350,569,0,0
11/01/1993,113,141,329,0,0
19/01/1993,157,157,547,0,0
19/01/1993,207,207,759,0,0
19/01/1993,350,350,1203,0,0
19/01/1993,171,171,617,0,0
19/01/1993,187,187,556,0,0
23/01/1993,246,297,1025,0,0
23/01/1993,216,216,888,0,0
23/01/1993,140,174,514,0,0
23/01/1993,137,211,594,0,0
23/01/1993,174,198,526,0,0
30/01/1993,145,239,453,0,0
30/01/1993,216,563,728,0,0
30/01/1993,166,418,462,0,0
30/01/1993,199,566,448,0,0
30/01/1993,182,357,757,0,0
4/02/1993,213,446,617,0,0
4/02/1993,199,199,630,0,0
4/02/1993,260,738,781,0,0
4/02/1993,367,479,1099,0,0
4/02/1993,176,340,527,0,0
9/02/1993,260,404,753,0,0
9/02/1993,253,355,605,0,0
9/02/1993,254,414,650,0,0
9/02/1993,190,342,494,0,0
9/02/1993,199,430,415,0,0
14/02/1993,179,324,358,0,0
14/02/1993,215,30,77,185,231
14/02/1993,209,363,559,0,0
14/02/1993,277,518,604,0,0
14/02/1993,211,339,460,0,0
19/02/1993,170,520,354,0,0
19/02/1993,169,285,367,0,0
19/02/1993,235,435,490,0,0
