Monthly Sea Ice Concentration for the Penguin Foraging Area (~200km) near Anvers Island
Dataset: GSFC Bootstrap time series data Version 3.1 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021
Nodata: -999.00
Caution: The 2021 monthly data are preliminary and will be updated when available (be particularly
         cautious of the near-zero values in summer; some will likely get upgraded to low SIC)
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec

1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999          66          42
1979	          27          17          12          11          27          64          80          81          84          67          47          31
1980	          20          12           7          11          29          67          88          90          89          92          83          51
1981	          19           9           5           7          21          73          80          85          86          82          55          37
1982	          19           9           7           8           9          12          67          84          85          77          62          24
1983	          11           6           4           6           5           7          10          37          46          45          19          14
1984	           8           5           3           3           2          23          72          83          28          37          23          14
1985	           8           5           2           1           2           2          43          64          44          25          19          13
1986	           9           4           3           1          11          19          56          87          89          91          83          60
1987	          24          11           4           2           9          48          91          91          84          75          38        -999
1988	        -999           6           3           3           5           7          18          68          75          30          13           7
1989	           2           2           2           1           1           2           3           4          16           3           2           2
1990	           2           2           2           0           1           1           9          45          79          76          64          20
1991	           2           2           1           1           1          59          65          85          75          71          44          23
1992	          14           4           2           1           8          48          88          83          62          30          14           8
1993	           3           2           2           1           2          15          52          47          66          76          33          10
1994	           5           2           1           1           1           9          62          85          66          77          49          17
1995	           6           2           1           1           1          22          76          92          90          51          38          25
1996	          13           5           2           3           1           6          48          80          35          35          18          12
1997	           4           3           2           1           4          13          69          74          84          65          49          11
1998	           3           2           2           2           4           7           9          36          69          28          22          14
1999	           4           2           2           2           2           3          10          71          78          66          34          17
2000	           6           2           2           2           3           5          10          47          66          60           8           2
2001	           2           2           2           1           1           1          36          67          76          38          27          20
2002	          15          11           7           2           6          54          71          73          71          59          31           4
2003	           2           2           1           1           1           5          24          34          64          56          17           6
2004	           2           2           1           1           1           4          33          79          82          90          70          32
2005	          17           5           2           1           5          25          65          86          84          56          41          22
2006	           5           2           2           1           2           3          20          66          71          55          15           4
2007	           2           2           1           0           1           2          17          65          33          14           9           2
2008	           2           2           2           1           1           1          13          48          46          11           7           4
2009	           2           2           2           1           1           1          19          44          69          48          25           2
2010	           2           2           2           2           1           2          27          67          53           9           9           4
2011	           2           2           2           0           1           1          29          85          80          67          20          13
2012	           7           2           2           1           1           1          11          54          43          33          33           4
2013	           2           2           2           2           1          11          56          76          87          58          76          58
2014	           7           1           1           1           1           3          40          69          65          64          37          10
2015	           2           2           1           1           1          42          84          84          85          79          62          28
2016	           8           2           2           2          37          42          63          80          64          31          24          14
2017	           5           2           1           1           1           1           7          29          69          65          51          12
2018	           2           2           1           1           1           2          50          78          71          62          24          17
2019	          10           2           1           1           3           7          39          63          77          65          29          17
2020	           3           2           1           1           1           1          31          59          73          65          12           6
2021	           2           1           1           1           1           2           5        -999        -999        -999        -999        -999
