Monthly Sea Ice Concentration for the Penguin Foraging Area (~200km) near Avian/Adelaide Island
Dataset: GSFC Bootstrap time series data Version 3.1 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021
Nodata: -999.00
Caution: The 2021 monthly data are preliminary and will be updated when available (be particularly
         cautious of the near-zero values in summer; some will likely get upgraded to low SIC)
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec

1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999          94          88
1979	          57          39          19          21          74          93          96          96          98          97          94          79
1980	          49          27          26          58          86          92          96          97          97          98          85          59
1981	          36          19           6          23          77          88          86          91          92          95          82          55
1982	          30          15           6          11          33          74          92          97          96          94          89          58
1983	          11           5           4           7           8          50          81          82          82          83          31          11
1984	           6           5           1           5          18          85          95          94          61          86          59          19
1985	           5           2           0           1           6          53          87          87          86          84          64          51
1986	          21           6           3           5          34          82          91          96          98          97          93          86
1987	          60          23           9          53          64          91          96          98          96          93          72        -999
1988	        -999          13           5           9          21          47          86          91          95          82          31           1
1989	           0           0           0           0           1          41          62          60          73          25           8           1
1990	           0           0           0           0           3          28          72          89          96          97          93          61
1991	           0           0           0           0          37          94          95          97          96          94          84          54
1992	          26           6           8          20          66          95          96          91          78          64          47          21
1993	          14           2           2           7          27          85          91          62          91          94          73          45
1994	          17           3           4           3          16          88          95          99          95          95          73          26
1995	           3           1           1           3          12          76          93          97          96          78          71          40
1996	          15           8           3           3           6          54          94          95          90          89          74          25
1997	           3           2           1           2          25          60          93          94          95          90          72          23
1998	           4           0           0           0          26          47          60          54          84          45          26          10
1999	           0           0           0           0           0          40          85          96          94          92          61          35
2000	          16           2           0           1           5          27          72          89          92          93          80          35
2001	           0           0           0           0           0          29          90          96          96          65          35          20
2002	          14           6           5           3          53          96          97          89          88          90          91          46
2003	           6           2           0           0          19          64          82          86          92          93          83          33
2004	           0           0           0           0          13          71          96          97          98          97          93          68
2005	          38          15           8          14          41          85          97          98          98          89          72          64
2006	          27          13           3           2          11          52          75          96          89          72          41           5
2007	           0           0           0           1           3          24          81          88          82          43          22           0
2008	           0           0           0           0           0           3          71          83          60          26          10           1
2009	           0           0           0           1           0           5          76          86          93          88          85          21
2010	           0           0           0           1           3          36          80          88          77          13           4           5
2011	           0           0           0           0           0          22          83          97          94          91          59          27
2012	          15           2           0           0           1          64          87          95          91          90          86          41
2013	           0           0           0           0          15          89          93          95          97          93          94          82
2014	          17           0           0           0           7          54          78          96          93          95          85          50
2015	           2           0           0           1          21          89          96          95          95          93          90          77
2016	          52          18           6          42          81          63          82          92          69          46          43          25
2017	           9           2           1           1           3          14          72          88          96          92          88          41
2018	           4           0           0           0           6          47          90          92          97          96          74          47
2019	          15           3           2           0          27          79          94          91          97          96          88          54
2020	           0           0           0           0           4          45          91          88          94          95          33          11
2021	           1           0           0           0           7          56          39        -999        -999        -999        -999        -999
