Monthly Sea Ice Concentration for the Marguerite Bay area
Dataset: GSFC Bootstrap time series data Version 3.1 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021
Nodata: -999.00
Caution: The 2021 monthly data are preliminary and will be updated when available (be particularly
         cautious of the near-zero values in summer; some will likely get upgraded to low SIC)
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec

1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999          95          95
1979	          95          87          83          74          87          84          85          90          94          94          92          98
1980	          97          92          81          87          92          91          89          92          85          87          83          91
1981	          91          86          64          66          85          88          79          81          83          83          88          96
1982	          93          78          50          50          68          79          88          88          92          92          91          96
1983	          82          56          34          43          46          67          72          85          88          90          89          86
1984	          71          51          31          30          50          81          85          87          86          89          88          73
1985	          55          41          18          17          27          63          82          85          84          91          96          94
1986	          73          44          18          27          37          71          80          90          92          89          86          86
1987	          74          47          34          64          76          88          94          95          93          92          96        -999
1988	        -999          92          66          62          69          79          86          92          88          81          58          34
1989	          14          11          11          12          12          57          76          85          83          75          65          42
1990	          17          12           7          13          38          41          63          83          91          84          72          44
1991	          23          10           6           8          52          85          89          87          89          91          91          86
1992	          65          42          31          43          80          91          94          92          90          88          94          96
1993	          81          39          19          32          64          85          90          89          89          90          89          84
1994	          67          38          25          22          60          85          88          88          88          93          87          86
1995	          78          62          42          30          47          81          87          92          91          94          92          94
1996	          87          69          54          47          47          76          83          90          84          89          92          82
1997	          59          40          23          22          53          86          93          90          93          90          88          95
1998	          70          50          19          12          39          68          69          73          80          75          77          43
1999	          15           8           8           8          15          51          75          90          93          90          89          94
2000	          82          59          52          40          48          69          85          87          89          87          90          64
2001	          27           9           6           8          10          27          80          84          85          90          89          93
2002	          85          78          66          51          80          92          94          95          93          87          87          84
2003	          60          28           9           9          35          76          70          83          91          88          77          48
2004	          26          10           9          11          24          67          87          91          92          91          92          93
2005	          79          73          65          65          79          87          91          91          93          91          96          93
2006	          92          77          36          26          44          74          86          93          90          92          85          63
2007	          40          15           8          11          22          45          71          72          79          79          48          29
2008	          15           9           8          10          10          23          73          85          89          84          69          67
2009	          55          33          16          16          27          50          76          82          84          83          74          44
2010	          16           8           6           9          17          33          76          84          83          76          79          58
2011	          35          12           9          11          12          46          77          91          86          89          76          89
2012	          80          52          35          23          26          67          76          85          88          92          84          54
2013	          23          11           8           9          27          77          84          84          93          90          88          80
2014	          46          27          13          15          33          71          83          91          93          92          80          81
2015	          59          51          40          40          66          85          90          91          92          91          90          90
2016	          79          70          50          62          86          76          83          88          91          97          96          96
2017	          77          61          44          28          20          33          67          77          88          74          87          79
2018	          33          13           7           8          15          54          85          89          91          93          94          93
2019	          67          40          17          19          45          82          92          91          91          88          84          60
2020	          20          12           7           8          24          53          85          80          87          82          91          78
2021	          50          29          13           5          19          57          61        -999        -999        -999        -999        -999
