study_name,time,island_name,colony_code,num_breeding_pairs,num_chicks,census_time
,UTC,,,,,
PAL9192,1992-01-26T00:00:00Z,CHR,1.0,166,306,1700
PAL9192,1992-01-26T00:00:00Z,CHR,2.0,53,90,1700
PAL9192,1992-01-26T00:00:00Z,CHR,3.0,138,208,1700
PAL9192,1992-01-26T00:00:00Z,CHR,4.0,17,29,1700
PAL9192,1992-01-26T00:00:00Z,CHR,5.0,32,32,1700
PAL9192,1992-01-26T00:00:00Z,CHR,6.0,100,172,1700
PAL9192,1992-01-26T00:00:00Z,CHR,7.0,303,407,1700
PAL9192,1992-01-26T00:00:00Z,CHR,7.1,27,30,1700
PAL9192,1992-01-26T00:00:00Z,CHR,7.2,65,97,1700
PAL9192,1992-01-26T00:00:00Z,CHR,8.0,143,227,1700
PAL9192,1992-01-26T00:00:00Z,CHR,9.0,79,63,1700
PAL9192,1992-01-26T00:00:00Z,CHR,10.0,15,13,1700
PAL9192,1992-01-26T00:00:00Z,CHR,11.0,24,10,1700
PAL9192,1992-01-26T00:00:00Z,COR,1.0,5,4,1430
PAL9192,1992-01-26T00:00:00Z,COR,2.0,82,119,1430
PAL9192,1992-01-26T00:00:00Z,COR,3.0,45,48,1430
PAL9192,1992-01-26T00:00:00Z,COR,4.0,12,29,1430
PAL9192,1992-01-26T00:00:00Z,COR,5.0,370,386,1430
PAL9192,1992-01-26T00:00:00Z,COR,5.1,151,173,1430
PAL9192,1992-01-26T00:00:00Z,COR,6.0,110,116,1430
PAL9192,1992-01-26T00:00:00Z,HUM,1.1,10,20,1130
PAL9192,1992-01-26T00:00:00Z,HUM,1.2,11,39,1130
PAL9192,1992-01-26T00:00:00Z,HUM,1.3,7,7,1130
PAL9192,1992-01-26T00:00:00Z,HUM,2.1,86,183,1130
PAL9192,1992-01-26T00:00:00Z,HUM,2.2,35,97,1130
PAL9192,1992-01-26T00:00:00Z,HUM,3.0,145,409,1130
PAL9192,1992-01-26T00:00:00Z,HUM,3.1,45,99,1130
PAL9192,1992-01-26T00:00:00Z,HUM,4.0,59,149,1130
PAL9192,1992-01-26T00:00:00Z,HUM,5.0,185,476,1130
PAL9192,1992-01-26T00:00:00Z,LIT,1.0,14,11,2000
PAL9192,1992-01-26T00:00:00Z,LIT,2.0,21,29,2000
PAL9192,1992-01-26T00:00:00Z,LIT,3.0,0,0,2000
PAL9192,1992-01-26T00:00:00Z,LIT,4.0,21,31,2000
PAL9192,1992-01-26T00:00:00Z,LIT,5.0,40,99,2000
PAL9192,1992-01-26T00:00:00Z,LIT,6.0,80,135,2000
PAL9192,1992-01-26T00:00:00Z,LIT,7.0,31,71,2000
PAL9192,1992-01-26T00:00:00Z,LIT,8.0,42,141,2000
PAL9192,1992-01-26T00:00:00Z,LIT,9.0,17,25,2000
PAL9192,1992-01-26T00:00:00Z,TOR,1.0,122,162,0800
PAL9192,1992-01-26T00:00:00Z,TOR,2.0,42,71,0800
PAL9192,1992-01-26T00:00:00Z,TOR,3.0,27,30,0800
PAL9192,1992-01-26T00:00:00Z,TOR,4.0,234,378,0800
PAL9192,1992-01-26T00:00:00Z,TOR,5.0,85,144,0800
PAL9192,1992-01-26T00:00:00Z,TOR,12.0,155,265,0800
PAL9192,1992-01-26T00:00:00Z,TOR,13.0,193,339,0800
PAL9192,1992-01-26T00:00:00Z,TOR,15.0,113,210,0800
PAL9192,1992-01-26T00:00:00Z,TOR,17.0,15,25,0800
PAL9192,1992-01-26T00:00:00Z,TOR,20.0,184,318,0800
PAL9192,1992-01-26T00:00:00Z,TOR,21.0,89,189,0800
PAL9192,1992-01-26T00:00:00Z,TOR,22.0,58,134,0800
PAL9192,1992-01-26T00:00:00Z,TOR,23.0,172,203,0800
PAL9192,1992-01-26T00:00:00Z,TOR,23.1,19,25,0800
PAL9293,1993-01-26T00:00:00Z,CHR,1.0,281,307,1100
PAL9293,1993-01-26T00:00:00Z,CHR,2.0,102,90,1100
PAL9293,1993-01-26T00:00:00Z,CHR,3.0,216,210,1100
PAL9293,1993-01-26T00:00:00Z,CHR,4.0,35,30,1100
PAL9293,1993-01-26T00:00:00Z,CHR,5.0,39,41,1100
PAL9293,1993-01-26T00:00:00Z,CHR,6.0,149,155,1100
PAL9293,1993-01-26T00:00:00Z,CHR,7.0,386,362,1100
PAL9293,1993-01-26T00:00:00Z,CHR,7.1,38,30,1100
PAL9293,1993-01-26T00:00:00Z,CHR,7.2,107,90,1100
PAL9293,1993-01-26T00:00:00Z,CHR,8.0,218,228,1100
PAL9293,1993-01-26T00:00:00Z,CHR,9.1,31,17,1100
PAL9293,1993-01-26T00:00:00Z,CHR,10.0,21,10,1100
PAL9293,1993-01-26T00:00:00Z,CHR,11.0,18,0,1100
PAL9293,1993-01-26T00:00:00Z,COR,1.0,8,5,1000
PAL9293,1993-01-26T00:00:00Z,COR,2.0,86,119,1000
PAL9293,1993-01-26T00:00:00Z,COR,3.0,55,50,1000
PAL9293,1993-01-26T00:00:00Z,COR,4.0,15,25,1000
PAL9293,1993-01-26T00:00:00Z,COR,5.0,342,356,1000
PAL9293,1993-01-26T00:00:00Z,COR,5.1,141,167,1000
PAL9293,1993-01-26T00:00:00Z,COR,6.0,148,141,1000
PAL9293,1993-01-26T00:00:00Z,HUM,1.1,24,15,1300
PAL9293,1993-01-26T00:00:00Z,HUM,1.2,20,39,1300
PAL9293,1993-01-26T00:00:00Z,HUM,1.3,6,7,1300
PAL9293,1993-01-26T00:00:00Z,HUM,2.1,60,195,1300
PAL9293,1993-01-26T00:00:00Z,HUM,2.2,35,109,1300
PAL9293,1993-01-26T00:00:00Z,HUM,3.0,197,451,1300
PAL9293,1993-01-26T00:00:00Z,HUM,3.1,65,82,1300
PAL9293,1993-01-26T00:00:00Z,HUM,4.0,140,168,1300
PAL9293,1993-01-26T00:00:00Z,HUM,5.0,210,524,1300
PAL9293,1993-01-26T00:00:00Z,LIT,1.0,36,32,1400
PAL9293,1993-01-26T00:00:00Z,LIT,2.0,21,9,1400
PAL9293,1993-01-26T00:00:00Z,LIT,3.0,0,0,1400
PAL9293,1993-01-26T00:00:00Z,LIT,4.0,41,25,1400
PAL9293,1993-01-26T00:00:00Z,LIT,5.0,75,105,1400
PAL9293,1993-01-26T00:00:00Z,LIT,6.0,94,135,1400
PAL9293,1993-01-26T00:00:00Z,LIT,7.0,52,82,1400
PAL9293,1993-01-26T00:00:00Z,LIT,8.0,93,148,1400
PAL9293,1993-01-26T00:00:00Z,LIT,9.0,21,9,1400
PAL9293,1993-01-26T00:00:00Z,TOR,1.0,119,205,1500
PAL9293,1993-01-26T00:00:00Z,TOR,2.0,47,64,1500
PAL9293,1993-01-26T00:00:00Z,TOR,3.0,23,26,1500
PAL9293,1993-01-26T00:00:00Z,TOR,4.0,237,441,1500
PAL9293,1993-01-26T00:00:00Z,TOR,5.0,133,170,1500
PAL9293,1993-01-26T00:00:00Z,TOR,12.0,185,285,1500
PAL9293,1993-01-26T00:00:00Z,TOR,13.0,212,334,1500
PAL9293,1993-01-26T00:00:00Z,TOR,15.0,195,252,1500
PAL9293,1993-01-26T00:00:00Z,TOR,17.0,24,30,1500
