study_name,time,island_name,colony_code,num_nests,num_nests_with_one_chick,num_nests_with_two_chicks,num_nests_with_eggs
,UTC,,,,,,
PAL9192,1992-01-09T00:00:00Z,CHR,1.0,100,33,67,0
PAL9192,1992-01-09T00:00:00Z,CHR,2.0,56,18,38,0
PAL9192,1992-01-09T00:00:00Z,CHR,3.0,122,27,95,3
PAL9192,1992-01-09T00:00:00Z,CHR,3.1,0,0,0,0
PAL9192,1992-01-09T00:00:00Z,CHR,4.1,15,4,11,0
PAL9192,1992-01-09T00:00:00Z,CHR,4.2,0,0,0,0
PAL9192,1992-01-09T00:00:00Z,CHR,5.0,18,3,15,0
PAL9192,1992-01-09T00:00:00Z,CHR,6.0,100,23,77,6
PAL9192,1992-01-09T00:00:00Z,CHR,7.1,25,11,14,0
PAL9192,1992-01-09T00:00:00Z,CHR,7.2,0,0,0,0
PAL9192,1992-01-09T00:00:00Z,CHR,8.0,100,25,75,0
PAL9192,1992-01-09T00:00:00Z,CHR,9.1,48,18,20,0
PAL9192,1992-01-09T00:00:00Z,CHR,10.0,11,10,1,1
PAL9192,1992-01-09T00:00:00Z,COR,1.0,2,0,2,1
PAL9192,1992-01-09T00:00:00Z,COR,2.0,68,15,53,3
PAL9192,1992-01-09T00:00:00Z,COR,3.0,30,9,21,0
PAL9192,1992-01-09T00:00:00Z,COR,4.0,17,6,11,0
PAL9192,1992-01-09T00:00:00Z,COR,5.0,100,22,78,12
PAL9192,1992-01-09T00:00:00Z,COR,5.1,100,20,80,8
PAL9192,1992-01-09T00:00:00Z,COR,6.0,80,20,60,3
PAL9192,1992-01-09T00:00:00Z,HUM,1.1,13,5,8,1
PAL9192,1992-01-09T00:00:00Z,HUM,1.2,24,8,16,0
PAL9192,1992-01-09T00:00:00Z,HUM,1.3,6,4,2,0
PAL9192,1992-01-09T00:00:00Z,HUM,2.1,108,31,77,0
PAL9192,1992-01-09T00:00:00Z,HUM,2.2,57,10,47,3
PAL9192,1992-01-09T00:00:00Z,HUM,3.0,100,18,82,0
PAL9192,1992-01-09T00:00:00Z,HUM,3.1,64,17,47,0
PAL9192,1992-01-09T00:00:00Z,HUM,4.0,97,20,77,0
PAL9192,1992-01-09T00:00:00Z,HUM,5.0,100,18,82,0
PAL9192,1992-01-09T00:00:00Z,LIT,1.0,9,6,3,0
PAL9192,1992-01-09T00:00:00Z,LIT,2.0,21,9,12,0
PAL9192,1992-01-09T00:00:00Z,LIT,4.0,22,9,13,0
PAL9192,1992-01-09T00:00:00Z,LIT,5.0,72,31,41,0
PAL9192,1992-01-09T00:00:00Z,LIT,6.0,85,47,53,0
PAL9192,1992-01-09T00:00:00Z,LIT,7.0,46,17,29,0
PAL9192,1992-01-09T00:00:00Z,LIT,8.0,92,37,55,0
PAL9192,1992-01-09T00:00:00Z,LIT,9.0,21,6,15,0
PAL9192,1992-01-09T00:00:00Z,TOR,1.0,100,33,67,3
PAL9192,1992-01-09T00:00:00Z,TOR,2.0,47,10,37,0
PAL9192,1992-01-09T00:00:00Z,TOR,3.0,20,11,9,0
PAL9192,1992-01-09T00:00:00Z,TOR,4.0,100,24,76,0
PAL9192,1992-01-09T00:00:00Z,TOR,5.0,84,29,55,0
PAL9192,1992-01-09T00:00:00Z,TOR,12.0,0,0,0,0
PAL9192,1992-01-09T00:00:00Z,TOR,12.0,100,38,62,4
PAL9192,1992-01-09T00:00:00Z,TOR,13.0,100,25,75,0
PAL9192,1992-01-09T00:00:00Z,TOR,17.0,18,10,8,1
PAL9192,1992-01-09T00:00:00Z,TOR,20.0,100,21,79,0
PAL9192,1992-01-09T00:00:00Z,TOR,21.0,114,30,84,6
PAL9192,1992-01-09T00:00:00Z,TOR,22.0,83,29,59,8
PAL9192,1992-01-09T00:00:00Z,TOR,23.0,100,45,55,9
PAL9192,1992-01-09T00:00:00Z,TOR,23.1,18,7,11,2
PAL9293,1993-01-05T00:00:00Z,COR,1.0,4,1,3,0
PAL9293,1993-01-05T00:00:00Z,COR,2.0,70,29,41,0
PAL9293,1993-01-05T00:00:00Z,COR,3.0,34,14,22,0
PAL9293,1993-01-05T00:00:00Z,COR,4.0,14,3,11,0
PAL9293,1993-01-05T00:00:00Z,COR,5.0,100,24,76,0
PAL9293,1993-01-05T00:00:00Z,COR,5.1,100,26,74,0
PAL9293,1993-01-05T00:00:00Z,COR,6.0,80,28,52,0
PAL9293,1993-01-06T00:00:00Z,HUM,1.1,12,6,6,0
PAL9293,1993-01-06T00:00:00Z,HUM,1.2,23,6,17,0
PAL9293,1993-01-06T00:00:00Z,HUM,1.3,5,2,3,0
PAL9293,1993-01-06T00:00:00Z,HUM,2.1,107,23,82,0
PAL9293,1993-01-06T00:00:00Z,HUM,2.2,62,20,42,0
PAL9293,1993-01-06T00:00:00Z,HUM,3.0,100,20,80,0
PAL9293,1993-01-06T00:00:00Z,HUM,3.1,46,15,31,0
PAL9293,1993-01-06T00:00:00Z,HUM,4.0,88,26,62,0
PAL9293,1993-01-06T00:00:00Z,HUM,5.0,100,26,74,0
