study_name,time,event_number,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count,fish_weight,fish_count
,UTC,,gram,gram,,gram,,gram,
PAL9192,1992-01-15T00:00:00Z,91001.0,0.0,389.0,754.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-15T00:00:00Z,91002.0,0.0,478.0,860.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-15T00:00:00Z,91003.0,0.0,350.0,739.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-15T00:00:00Z,91004.0,0.0,269.0,888.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-15T00:00:00Z,91005.0,0.0,331.0,530.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-20T00:00:00Z,91006.0,0.0,267.0,445.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-20T00:00:00Z,91007.0,0.0,271.0,467.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-20T00:00:00Z,91008.0,0.0,364.0,587.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-20T00:00:00Z,91009.0,0.0,346.0,541.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-20T00:00:00Z,91010.0,0.0,278.0,534.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-25T00:00:00Z,91011.0,0.0,397.0,639.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-25T00:00:00Z,91012.0,0.0,433.0,941.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-25T00:00:00Z,91013.0,0.0,420.0,878.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-25T00:00:00Z,91014.0,0.0,234.0,395.0,234.0,2220.0,0.0,0.0
PAL9192,1992-01-25T00:00:00Z,91015.0,0.0,240.0,595.0,25.0,125.0,0.0,0.0
PAL9192,1992-01-30T00:00:00Z,91016.0,0.0,340.0,486.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-30T00:00:00Z,91017.0,0.0,328.0,713.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-30T00:00:00Z,91018.0,0.0,411.0,1013.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-30T00:00:00Z,91019.0,0.0,349.0,428.0,0.0,0.0,0.0,0.0
PAL9192,1992-01-30T00:00:00Z,91020.0,0.0,293.0,670.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-04T00:00:00Z,91021.0,0.0,455.0,565.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-04T00:00:00Z,91022.0,0.0,509.0,1034.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-04T00:00:00Z,91023.0,0.0,660.0,1022.0,0.0,0.0,5.0,2.0
PAL9192,1992-02-04T00:00:00Z,91024.0,0.0,355.0,619.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-04T00:00:00Z,91025.0,0.0,430.0,862.0,0.0,0.0,1.0,2.0
PAL9192,1992-02-09T00:00:00Z,91026.0,0.0,400.0,552.0,0.0,0.0,7.0,1.0
PAL9192,1992-02-09T00:00:00Z,91027.0,0.0,855.0,1450.0,0.0,0.0,2.0,1.0
PAL9192,1992-02-09T00:00:00Z,91028.0,0.0,570.0,1123.0,0.0,0.0,1.0,1.0
PAL9192,1992-02-09T00:00:00Z,91029.0,0.0,359.0,530.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-09T00:00:00Z,91030.0,0.0,401.0,1088.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-14T00:00:00Z,91031.0,0.0,300.0,587.0,0.0,0.0,2.0,1.0
PAL9192,1992-02-14T00:00:00Z,91032.0,0.0,806.0,1612.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-14T00:00:00Z,91033.0,0.0,760.0,760.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-14T00:00:00Z,91034.0,0.0,357.0,515.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-14T00:00:00Z,91035.0,0.0,478.0,933.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-19T00:00:00Z,91036.0,0.0,336.0,519.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-19T00:00:00Z,91037.0,0.0,251.0,396.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-19T00:00:00Z,91038.0,0.0,445.0,662.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-19T00:00:00Z,91039.0,0.0,371.0,468.0,0.0,0.0,0.0,0.0
PAL9192,1992-02-19T00:00:00Z,91040.0,0.0,315.0,612.0,0.0,0.0,1.0,2.0
PAL9293,1993-01-11T00:00:00Z,92001.0,439.0,624.0,1376.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-11T00:00:00Z,92002.0,212.0,390.0,650.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-11T00:00:00Z,92003.0,220.0,466.0,645.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-11T00:00:00Z,92004.0,247.0,350.0,569.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-11T00:00:00Z,92005.0,113.0,141.0,329.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-19T00:00:00Z,92006.0,157.0,157.0,547.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-19T00:00:00Z,92007.0,207.0,207.0,759.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-19T00:00:00Z,92008.0,350.0,350.0,1203.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-19T00:00:00Z,92009.0,171.0,171.0,617.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-19T00:00:00Z,92010.0,187.0,187.0,556.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-23T00:00:00Z,92011.0,246.0,297.0,1025.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-23T00:00:00Z,92012.0,216.0,216.0,888.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-23T00:00:00Z,92013.0,140.0,174.0,514.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-23T00:00:00Z,92014.0,137.0,211.0,594.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-23T00:00:00Z,92015.0,174.0,198.0,526.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-30T00:00:00Z,92016.0,145.0,239.0,453.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-30T00:00:00Z,92017.0,216.0,563.0,728.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-30T00:00:00Z,92018.0,166.0,418.0,462.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-30T00:00:00Z,92019.0,199.0,566.0,448.0,0.0,0.0,0.0,0.0
PAL9293,1993-01-30T00:00:00Z,92020.0,182.0,357.0,757.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-04T00:00:00Z,92021.0,213.0,446.0,617.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-04T00:00:00Z,92022.0,199.0,199.0,630.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-04T00:00:00Z,92023.0,260.0,738.0,781.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-04T00:00:00Z,92024.0,367.0,479.0,1099.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-04T00:00:00Z,92025.0,176.0,340.0,527.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-09T00:00:00Z,92026.0,260.0,404.0,753.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-09T00:00:00Z,92027.0,253.0,355.0,605.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-09T00:00:00Z,92028.0,254.0,414.0,650.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-09T00:00:00Z,92029.0,190.0,342.0,494.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-09T00:00:00Z,92030.0,199.0,430.0,415.0,0.0,0.0,0.0,0.0
PAL9293,1993-02-14T00:00:00Z,92031.0,179.0,324.0,358.0,0.0,0.0,39.0,1.0
